W0503 18:10:59.227000 997957 torch/distributed/run.py:803] 
W0503 18:10:59.227000 997957 torch/distributed/run.py:803] *****************************************
W0503 18:10:59.227000 997957 torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0503 18:10:59.227000 997957 torch/distributed/run.py:803] *****************************************
Hyperparameters:
  adam_eps: 1e-08
  tokenizer_path: /root/caseops_data/datasets/tokenizers/fineweb_8192_bpe_lossless_caps_caseops_v1_reserved.model
  train_batch_tokens: 786432
  train_files: /root/caseops_data/datasets/datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved/fineweb_train_*.bin
  train_log_every: 500
  train_seq_len: 2048
  ttt_batch_size: 64
  ttt_beta1: 0.0
  ttt_beta2: 0.99
  ttt_chunk_size: 48
  ttt_enabled: True
  ttt_eval_batches: 
  ttt_eval_seq_len: 2048
  ttt_grad_steps: 1
  ttt_k_lora: True
  ttt_lora_lr: 0.0001
  ttt_lora_rank: 80
  ttt_mlp_lora: True
  ttt_o_lora: True
  ttt_optimizer: adam
  ttt_weight_decay: 0.5
  val_batch_tokens: 524288
  val_bytes_files: /root/caseops_data/datasets/datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved/fineweb_val_bytes_*.bin
  val_doc_fraction: 1.0
  val_files: /root/caseops_data/datasets/datasets/fineweb10B_sp8192_lossless_caps_caseops_v1_reserved/fineweb_val_*.bin
  val_loss_every: 4000
  vocab_size: 8192
  warmdown_frac: 0.85
  warmup_steps: 20
  wd_sched_high_factor: 1.75
  wd_sched_hold_frac: 0.4
  wd_sched_low_factor: 0.5
  wd_sched_ramp_frac: 0.85
  wd_schedule_enabled: True
  world_size: 8
  xsa_last_n: 11
train_shards: 80
val_tokens: 47851520
model_params:35945671
gptq:reserving 8.0s, effective=592000ms
warmup_cu_buckets:64,128,192,256 iters_each:3
warmup_step: 1/20
warmup_step: 2/20
warmup_step: 3/20
warmup_step: 4/20
warmup_step: 5/20
warmup_step: 6/20
warmup_step: 10/20
warmup_step: 20/20
loop_warmup:enabled encoder:[0, 1, 2, 3, 4, 5, 3, 4] decoder:[5, 3, 4, 5, 6, 7, 8, 9, 10]
loop_warmup_step: 1/20
loop_warmup_step: 2/20
loop_warmup_step: 3/20
loop_warmup_step: 4/20
loop_warmup_step: 5/20
loop_warmup_step: 6/20
loop_warmup_step: 10/20
loop_warmup_step: 20/20
0/20000 val_loss: 9.0008 val_bpb: 4.1127
1/20000 train_loss: 9.0017 train_time: 0.0m tok/s: 12533395
2/20000 train_loss: 12.9507 train_time: 0.0m tok/s: 11613497
3/20000 train_loss: 10.2461 train_time: 0.0m tok/s: 10282684
4/20000 train_loss: 8.7574 train_time: 0.0m tok/s: 9809603
5/20000 train_loss: 7.9384 train_time: 0.0m tok/s: 9510479
500/20000 train_loss: 2.5715 train_time: 0.8m tok/s: 8244868
1000/20000 train_loss: 2.8054 train_time: 1.6m tok/s: 8224597
1500/20000 train_loss: 2.6194 train_time: 2.4m tok/s: 8214864
2000/20000 train_loss: 2.6572 train_time: 3.2m tok/s: 8205012
layer_loop:enabled step:2160 frac:0.350 encoder:[0, 1, 2, 3, 4, 5, 3, 4] decoder:[5, 3, 4, 5, 6, 7, 8, 9, 10]
2500/20000 train_loss: 2.5402 train_time: 4.3m tok/s: 7707169
3000/20000 train_loss: 2.5495 train_time: 5.4m tok/s: 7248462
3500/20000 train_loss: 2.5413 train_time: 6.6m tok/s: 6955425
4000/20000 train_loss: 2.3821 train_time: 7.8m tok/s: 6714220
4000/20000 val_loss: 2.4082 val_bpb: 1.1004
4500/20000 train_loss: 2.2612 train_time: 9.0m tok/s: 6567029
4878/20000 val_loss: 2.3499 val_bpb: 1.0737
stopping_early: wallclock_cap train_time: 592046ms step: 4878/20000
peak memory allocated: 41709 MiB reserved: 47026 MiB
ema:applying EMA weights
Serialized model: 135417533 bytes
Code size (uncompressed): 164756 bytes
Code size (compressed): 34320 bytes
GPTQ:collecting Hessians from calibration data...
gptq:all-rank Hessian averaging across 8 ranks (denom=128)
GPTQ:collected 67 Hessians in 3.4s
Quantized weights:
  gptq (int6): blocks.attn.c_k.weight, blocks.attn.c_q.weight, blocks.attn.c_v.weight, blocks.attn.proj.weight, blocks.mlp.fc.weight, blocks.mlp.proj.weight
  gptq (int6)+lqer_asym: blocks.mlp.fc.weight
  gptq (int7)+lqer_asym: tok_emb.weight
  passthrough (float16): blocks.attn.attn_gate_w, blocks.attn.q_gain, blocks.attn_scale, blocks.mlp_scale, blocks.resid_mix, parallel_post_lambdas, parallel_resid_lambdas, skip_gates, skip_weights, smear_gate.weight, smear_lambda
GPTQ:quantized in 9.3s
Serialize: per-group lrzip compression...
GPTQ:compressed+saved in 121.4s
Serialized model quantized+pergroup: 15874922 bytes
Total submission size quantized+pergroup: 15909242 bytes
serialize_wallclock: 135.684s
artifact_production_wallclock: 901.101s (must be < 600.0)
diagnostic pre-quantization post-ema val_loss:2.32924057 val_bpb:1.06430293 eval_time:7487ms
Deserialize: per-group lrzip decompression...
Deserialize: decompression done in 19.9s
diagnostic quantized val_loss:2.34964283 val_bpb:1.07362536 eval_time:12212ms
Deserialize: per-group lrzip decompression...
Deserialize: decompression done in 20.1s
ttt_lora:warming up compile (random tokens, no val data)
ttt_lora:compile warmup done (107.3s)

beginning TTT eval timer
ttt_phased: total_docs:50000 prefix_docs:2500 suffix_docs:47500 num_phases:3 boundaries:[833, 1666, 2500]
ttp: b776/782 bl:2.2564 bb:1.0698 rl:2.2564 rb:1.0698 dl:7534-8350 gd:0
ttp: b773/782 bl:2.1988 bb:1.0355 rl:2.2309 rb:1.0545 dl:6104-6447 gd:0
ttp: b768/782 bl:2.2419 bb:1.0441 rl:2.2337 rb:1.0518 dl:4859-5083 gd:0
ttp: b762/782 bl:2.3519 bb:1.0891 rl:2.2545 rb:1.0584 dl:4032-4142 gd:0
ttpp: phase:1/3 pd:1296 gd:833 t:217.9s
tttg: c1/131 lr:0.001000 t:0.2s
tttg: c2/131 lr:0.001000 t:0.2s
tttg: c3/131 lr:0.000999 t:0.3s
tttg: c4/131 lr:0.000999 t:0.4s
tttg: c5/131 lr:0.000998 t:0.4s
tttg: c6/131 lr:0.000996 t:0.5s
tttg: c7/131 lr:0.000995 t:0.6s
tttg: c8/131 lr:0.000993 t:0.7s
tttg: c9/131 lr:0.000991 t:0.7s
tttg: c10/131 lr:0.000988 t:0.8s
tttg: c11/131 lr:0.000985 t:0.9s
tttg: c12/131 lr:0.000982 t:1.0s
tttg: c13/131 lr:0.000979 t:1.0s
tttg: c14/131 lr:0.000976 t:1.1s
tttg: c15/131 lr:0.000972 t:1.2s
tttg: c16/131 lr:0.000968 t:1.2s
tttg: c17/131 lr:0.000963 t:1.3s
tttg: c18/131 lr:0.000958 t:1.4s
tttg: c19/131 lr:0.000953 t:1.4s
tttg: c20/131 lr:0.000948 t:1.5s
tttg: c21/131 lr:0.000943 t:1.6s
tttg: c22/131 lr:0.000937 t:1.7s
tttg: c23/131 lr:0.000931 t:1.7s
tttg: c24/131 lr:0.000925 t:1.8s
tttg: c25/131 lr:0.000918 t:1.9s
tttg: c26/131 lr:0.000911 t:1.9s
tttg: c27/131 lr:0.000905 t:2.0s
tttg: c28/131 lr:0.000897 t:2.1s
tttg: c29/131 lr:0.000890 t:2.2s
tttg: c30/131 lr:0.000882 t:2.2s
tttg: c31/131 lr:0.000874 t:2.3s
tttg: c32/131 lr:0.000866 t:2.4s
tttg: c33/131 lr:0.000858 t:2.4s
tttg: c34/131 lr:0.000849 t:2.5s
tttg: c35/131 lr:0.000841 t:2.6s
tttg: c36/131 lr:0.000832 t:2.7s
tttg: c37/131 lr:0.000822 t:2.7s
tttg: c38/131 lr:0.000813 t:2.8s
tttg: c39/131 lr:0.000804 t:2.9s
tttg: c40/131 lr:0.000794 t:2.9s
tttg: c41/131 lr:0.000784 t:3.0s
tttg: c42/131 lr:0.000774 t:3.1s
tttg: c43/131 lr:0.000764 t:3.2s
tttg: c44/131 lr:0.000753 t:3.2s
tttg: c45/131 lr:0.000743 t:3.3s
tttg: c46/131 lr:0.000732 t:3.4s
tttg: c47/131 lr:0.000722 t:3.4s
tttg: c48/131 lr:0.000711 t:3.5s
tttg: c49/131 lr:0.000700 t:3.6s
tttg: c50/131 lr:0.000689 t:3.7s
tttg: c51/131 lr:0.000677 t:3.7s
tttg: c52/131 lr:0.000666 t:3.8s
tttg: c53/131 lr:0.000655 t:3.9s
tttg: c54/131 lr:0.000643 t:4.0s
tttg: c55/131 lr:0.000631 t:4.0s
tttg: c56/131 lr:0.000620 t:4.1s
tttg: c57/131 lr:0.000608 t:4.2s
tttg: c58/131 lr:0.000596 t:4.2s
tttg: c59/131 lr:0.000584 t:4.3s
tttg: c60/131 lr:0.000572 t:4.4s
tttg: c61/131 lr:0.000560 t:4.5s
tttg: c62/131 lr:0.000548 t:4.5s
tttg: c63/131 lr:0.000536 t:4.6s
tttg: c64/131 lr:0.000524 t:4.7s
tttg: c65/131 lr:0.000512 t:4.7s
tttg: c66/131 lr:0.000500 t:4.8s
tttg: c67/131 lr:0.000488 t:4.9s
tttg: c68/131 lr:0.000476 t:5.0s
tttg: c69/131 lr:0.000464 t:5.0s
tttg: c70/131 lr:0.000452 t:5.1s
tttg: c71/131 lr:0.000440 t:5.2s
tttg: c72/131 lr:0.000428 t:5.2s
tttg: c73/131 lr:0.000416 t:5.3s
tttg: c74/131 lr:0.000404 t:5.4s
tttg: c75/131 lr:0.000392 t:5.5s
tttg: c76/131 lr:0.000380 t:5.5s
tttg: c77/131 lr:0.000369 t:5.6s
tttg: c78/131 lr:0.000357 t:5.7s
tttg: c79/131 lr:0.000345 t:5.8s
tttg: c80/131 lr:0.000334 t:5.8s
tttg: c81/131 lr:0.000323 t:5.9s
tttg: c82/131 lr:0.000311 t:6.0s
tttg: c83/131 lr:0.000300 t:6.0s
tttg: c84/131 lr:0.000289 t:6.1s
tttg: c85/131 lr:0.000278 t:6.2s
tttg: c86/131 lr:0.000268 t:6.3s
tttg: c87/131 lr:0.000257 t:6.3s
tttg: c88/131 lr:0.000247 t:6.4s
tttg: c89/131 lr:0.000236 t:6.5s
tttg: c90/131 lr:0.000226 t:6.6s
tttg: c91/131 lr:0.000216 t:6.6s
tttg: c92/131 lr:0.000206 t:6.7s
tttg: c93/131 lr:0.000196 t:6.8s
tttg: c94/131 lr:0.000187 t:6.8s
tttg: c95/131 lr:0.000178 t:6.9s
tttg: c96/131 lr:0.000168 t:7.0s
tttg: c97/131 lr:0.000159 t:7.1s
tttg: c98/131 lr:0.000151 t:7.1s
tttg: c99/131 lr:0.000142 t:7.2s
tttg: c100/131 lr:0.000134 t:7.3s
tttg: c101/131 lr:0.000126 t:7.3s
tttg: c102/131 lr:0.000118 t:7.4s
tttg: c103/131 lr:0.000110 t:7.5s
tttg: c104/131 lr:0.000103 t:7.6s
tttg: c105/131 lr:0.000095 t:7.6s
tttg: c106/131 lr:0.000089 t:7.7s
tttg: c107/131 lr:0.000082 t:7.8s
tttg: c108/131 lr:0.000075 t:7.9s
tttg: c109/131 lr:0.000069 t:7.9s
tttg: c110/131 lr:0.000063 t:8.0s
tttg: c111/131 lr:0.000057 t:8.1s
tttg: c112/131 lr:0.000052 t:8.1s
tttg: c113/131 lr:0.000047 t:8.2s
tttg: c114/131 lr:0.000042 t:8.3s
tttg: c115/131 lr:0.000037 t:8.4s
tttg: c116/131 lr:0.000032 t:8.4s
tttg: c117/131 lr:0.000028 t:8.5s
tttg: c118/131 lr:0.000024 t:8.6s
tttg: c119/131 lr:0.000021 t:8.6s
tttg: c120/131 lr:0.000018 t:8.7s
tttg: c121/131 lr:0.000015 t:8.8s
tttg: c122/131 lr:0.000012 t:8.9s
tttg: c123/131 lr:0.000009 t:8.9s
tttg: c124/131 lr:0.000007 t:9.0s
tttg: c125/131 lr:0.000005 t:9.1s
tttg: c126/131 lr:0.000004 t:9.2s
tttg: c127/131 lr:0.000002 t:9.2s
tttg: c128/131 lr:0.000001 t:9.3s
tttg: c129/131 lr:0.000001 t:9.4s
tttg: c130/131 lr:0.000000 t:9.4s
ttpr: phase:1/3 t:228.8s
ttp: b757/782 bl:2.2804 bb:1.0615 rl:2.2580 rb:1.0588 dl:3550-3633 gd:0
ttp: b750/782 bl:2.3888 bb:1.0733 rl:2.2716 rb:1.0604 dl:3090-3149 gd:0
ttpp: phase:2/3 pd:2128 gd:1666 t:307.6s
tttg: c1/219 lr:0.001000 t:0.1s
tttg: c2/219 lr:0.001000 t:0.1s
tttg: c3/219 lr:0.001000 t:0.2s
tttg: c4/219 lr:0.001000 t:0.3s
tttg: c5/219 lr:0.000999 t:0.4s
tttg: c6/219 lr:0.000999 t:0.4s
tttg: c7/219 lr:0.000998 t:0.5s
tttg: c8/219 lr:0.000997 t:0.6s
tttg: c9/219 lr:0.000997 t:0.6s
tttg: c10/219 lr:0.000996 t:0.7s
tttg: c11/219 lr:0.000995 t:0.8s
tttg: c12/219 lr:0.000994 t:0.9s
tttg: c13/219 lr:0.000993 t:0.9s
tttg: c14/219 lr:0.000991 t:1.0s
tttg: c15/219 lr:0.000990 t:1.1s
tttg: c16/219 lr:0.000988 t:1.1s
tttg: c17/219 lr:0.000987 t:1.2s
tttg: c18/219 lr:0.000985 t:1.3s
tttg: c19/219 lr:0.000983 t:1.3s
tttg: c20/219 lr:0.000981 t:1.4s
tttg: c21/219 lr:0.000979 t:1.5s
tttg: c22/219 lr:0.000977 t:1.6s
tttg: c23/219 lr:0.000975 t:1.6s
tttg: c24/219 lr:0.000973 t:1.7s
tttg: c25/219 lr:0.000970 t:1.8s
tttg: c26/219 lr:0.000968 t:1.8s
tttg: c27/219 lr:0.000965 t:1.9s
tttg: c28/219 lr:0.000963 t:2.0s
tttg: c29/219 lr:0.000960 t:2.0s
tttg: c30/219 lr:0.000957 t:2.1s
tttg: c31/219 lr:0.000954 t:2.2s
tttg: c32/219 lr:0.000951 t:2.3s
tttg: c33/219 lr:0.000948 t:2.3s
tttg: c34/219 lr:0.000945 t:2.4s
tttg: c35/219 lr:0.000941 t:2.5s
tttg: c36/219 lr:0.000938 t:2.5s
tttg: c37/219 lr:0.000934 t:2.6s
tttg: c38/219 lr:0.000931 t:2.7s
tttg: c39/219 lr:0.000927 t:2.8s
tttg: c40/219 lr:0.000923 t:2.8s
tttg: c41/219 lr:0.000919 t:2.9s
tttg: c42/219 lr:0.000915 t:3.0s
tttg: c43/219 lr:0.000911 t:3.0s
tttg: c44/219 lr:0.000907 t:3.1s
tttg: c45/219 lr:0.000903 t:3.2s
tttg: c46/219 lr:0.000898 t:3.2s
tttg: c47/219 lr:0.000894 t:3.3s
tttg: c48/219 lr:0.000890 t:3.4s
tttg: c49/219 lr:0.000885 t:3.5s
tttg: c50/219 lr:0.000880 t:3.5s
tttg: c51/219 lr:0.000876 t:3.6s
tttg: c52/219 lr:0.000871 t:3.7s
tttg: c53/219 lr:0.000866 t:3.7s
tttg: c54/219 lr:0.000861 t:3.8s
tttg: c55/219 lr:0.000856 t:3.9s
tttg: c56/219 lr:0.000851 t:3.9s
tttg: c57/219 lr:0.000846 t:4.0s
tttg: c58/219 lr:0.000841 t:4.1s
tttg: c59/219 lr:0.000835 t:4.1s
tttg: c60/219 lr:0.000830 t:4.2s
tttg: c61/219 lr:0.000824 t:4.3s
tttg: c62/219 lr:0.000819 t:4.4s
tttg: c63/219 lr:0.000813 t:4.4s
tttg: c64/219 lr:0.000808 t:4.5s
tttg: c65/219 lr:0.000802 t:4.6s
tttg: c66/219 lr:0.000796 t:4.6s
tttg: c67/219 lr:0.000790 t:4.7s
tttg: c68/219 lr:0.000784 t:4.8s
tttg: c69/219 lr:0.000779 t:4.8s
tttg: c70/219 lr:0.000773 t:4.9s
tttg: c71/219 lr:0.000766 t:5.0s
tttg: c72/219 lr:0.000760 t:5.1s
tttg: c73/219 lr:0.000754 t:5.1s
tttg: c74/219 lr:0.000748 t:5.2s
tttg: c75/219 lr:0.000742 t:5.3s
tttg: c76/219 lr:0.000735 t:5.3s
tttg: c77/219 lr:0.000729 t:5.4s
tttg: c78/219 lr:0.000722 t:5.5s
tttg: c79/219 lr:0.000716 t:5.6s
tttg: c80/219 lr:0.000709 t:5.6s
tttg: c81/219 lr:0.000703 t:5.7s
tttg: c82/219 lr:0.000696 t:5.8s
tttg: c83/219 lr:0.000690 t:5.8s
tttg: c84/219 lr:0.000683 t:5.9s
tttg: c85/219 lr:0.000676 t:6.0s
tttg: c86/219 lr:0.000670 t:6.0s
tttg: c87/219 lr:0.000663 t:6.1s
tttg: c88/219 lr:0.000656 t:6.2s
tttg: c89/219 lr:0.000649 t:6.3s
tttg: c90/219 lr:0.000642 t:6.3s
tttg: c91/219 lr:0.000635 t:6.4s
tttg: c92/219 lr:0.000628 t:6.5s
tttg: c93/219 lr:0.000621 t:6.5s
tttg: c94/219 lr:0.000614 t:6.6s
tttg: c95/219 lr:0.000607 t:6.7s
tttg: c96/219 lr:0.000600 t:6.8s
tttg: c97/219 lr:0.000593 t:6.8s
tttg: c98/219 lr:0.000586 t:6.9s
tttg: c99/219 lr:0.000579 t:7.0s
tttg: c100/219 lr:0.000572 t:7.0s
tttg: c101/219 lr:0.000565 t:7.1s
tttg: c102/219 lr:0.000558 t:7.2s
tttg: c103/219 lr:0.000550 t:7.2s
tttg: c104/219 lr:0.000543 t:7.3s
tttg: c105/219 lr:0.000536 t:7.4s
tttg: c106/219 lr:0.000529 t:7.4s
tttg: c107/219 lr:0.000522 t:7.5s
tttg: c108/219 lr:0.000514 t:7.6s
tttg: c109/219 lr:0.000507 t:7.7s
tttg: c110/219 lr:0.000500 t:7.7s
tttg: c111/219 lr:0.000493 t:7.8s
tttg: c112/219 lr:0.000486 t:7.9s
tttg: c113/219 lr:0.000478 t:7.9s
tttg: c114/219 lr:0.000471 t:8.0s
tttg: c115/219 lr:0.000464 t:8.1s
tttg: c116/219 lr:0.000457 t:8.1s
tttg: c117/219 lr:0.000450 t:8.2s
tttg: c118/219 lr:0.000442 t:8.3s
tttg: c119/219 lr:0.000435 t:8.4s
tttg: c120/219 lr:0.000428 t:8.4s
tttg: c121/219 lr:0.000421 t:8.5s
tttg: c122/219 lr:0.000414 t:8.6s
tttg: c123/219 lr:0.000407 t:8.6s
tttg: c124/219 lr:0.000400 t:8.7s
tttg: c125/219 lr:0.000393 t:8.8s
tttg: c126/219 lr:0.000386 t:8.9s
tttg: c127/219 lr:0.000379 t:8.9s
tttg: c128/219 lr:0.000372 t:9.0s
tttg: c129/219 lr:0.000365 t:9.1s
tttg: c130/219 lr:0.000358 t:9.1s
tttg: c131/219 lr:0.000351 t:9.2s
tttg: c132/219 lr:0.000344 t:9.3s
tttg: c133/219 lr:0.000337 t:9.3s
tttg: c134/219 lr:0.000330 t:9.4s
tttg: c135/219 lr:0.000324 t:9.5s
tttg: c136/219 lr:0.000317 t:9.6s
tttg: c137/219 lr:0.000310 t:9.6s
tttg: c138/219 lr:0.000304 t:9.7s
tttg: c139/219 lr:0.000297 t:9.8s
tttg: c140/219 lr:0.000291 t:9.8s
tttg: c141/219 lr:0.000284 t:9.9s
tttg: c142/219 lr:0.000278 t:10.1s
tttg: c143/219 lr:0.000271 t:10.2s
tttg: c144/219 lr:0.000265 t:10.3s
tttg: c145/219 lr:0.000258 t:10.3s
tttg: c146/219 lr:0.000252 t:10.4s
tttg: c147/219 lr:0.000246 t:10.5s
tttg: c148/219 lr:0.000240 t:10.5s
tttg: c149/219 lr:0.000234 t:10.6s
tttg: c150/219 lr:0.000227 t:10.7s
tttg: c151/219 lr:0.000221 t:10.7s
tttg: c152/219 lr:0.000216 t:10.8s
tttg: c153/219 lr:0.000210 t:10.9s
tttg: c154/219 lr:0.000204 t:11.0s
tttg: c155/219 lr:0.000198 t:11.0s
tttg: c156/219 lr:0.000192 t:11.1s
tttg: c157/219 lr:0.000187 t:11.2s
tttg: c158/219 lr:0.000181 t:11.2s
tttg: c159/219 lr:0.000176 t:11.3s
tttg: c160/219 lr:0.000170 t:11.4s
tttg: c161/219 lr:0.000165 t:11.4s
tttg: c162/219 lr:0.000159 t:11.5s
tttg: c163/219 lr:0.000154 t:11.6s
tttg: c164/219 lr:0.000149 t:11.7s
tttg: c165/219 lr:0.000144 t:11.7s
tttg: c166/219 lr:0.000139 t:11.8s
tttg: c167/219 lr:0.000134 t:11.9s
tttg: c168/219 lr:0.000129 t:11.9s
tttg: c169/219 lr:0.000124 t:12.0s
tttg: c170/219 lr:0.000120 t:12.1s
tttg: c171/219 lr:0.000115 t:12.1s
tttg: c172/219 lr:0.000110 t:12.2s
tttg: c173/219 lr:0.000106 t:12.3s
tttg: c174/219 lr:0.000102 t:12.4s
tttg: c175/219 lr:0.000097 t:12.4s
tttg: c176/219 lr:0.000093 t:12.5s
tttg: c177/219 lr:0.000089 t:12.6s
tttg: c178/219 lr:0.000085 t:12.6s
tttg: c179/219 lr:0.000081 t:12.7s
tttg: c180/219 lr:0.000077 t:12.8s
tttg: c181/219 lr:0.000073 t:12.8s
tttg: c182/219 lr:0.000069 t:12.9s
tttg: c183/219 lr:0.000066 t:13.0s
tttg: c184/219 lr:0.000062 t:13.1s
tttg: c185/219 lr:0.000059 t:13.1s
tttg: c186/219 lr:0.000055 t:13.2s
tttg: c187/219 lr:0.000052 t:13.3s
tttg: c188/219 lr:0.000049 t:13.3s
tttg: c189/219 lr:0.000046 t:13.4s
tttg: c190/219 lr:0.000043 t:13.5s
tttg: c191/219 lr:0.000040 t:13.5s
tttg: c192/219 lr:0.000037 t:13.6s
tttg: c193/219 lr:0.000035 t:13.7s
tttg: c194/219 lr:0.000032 t:13.8s
tttg: c195/219 lr:0.000030 t:13.8s
tttg: c196/219 lr:0.000027 t:13.9s
tttg: c197/219 lr:0.000025 t:14.0s
tttg: c198/219 lr:0.000023 t:14.0s
tttg: c199/219 lr:0.000021 t:14.1s
tttg: c200/219 lr:0.000019 t:14.2s
tttg: c201/219 lr:0.000017 t:14.2s
tttg: c202/219 lr:0.000015 t:14.3s
tttg: c203/219 lr:0.000013 t:14.4s
tttg: c204/219 lr:0.000012 t:14.5s
tttg: c205/219 lr:0.000010 t:14.5s
tttg: c206/219 lr:0.000009 t:14.6s
tttg: c207/219 lr:0.000007 t:14.7s
tttg: c208/219 lr:0.000006 t:14.7s
tttg: c209/219 lr:0.000005 t:14.8s
tttg: c210/219 lr:0.000004 t:14.9s
tttg: c211/219 lr:0.000003 t:14.9s
tttg: c212/219 lr:0.000003 t:15.0s
tttg: c213/219 lr:0.000002 t:15.1s
tttg: c214/219 lr:0.000001 t:15.2s
tttg: c215/219 lr:0.000001 t:15.2s
tttg: c216/219 lr:0.000000 t:15.3s
tttg: c217/219 lr:0.000000 t:15.4s
tttg: c218/219 lr:0.000000 t:15.4s
ttpr: phase:2/3 t:324.5s
ttp: b746/782 bl:2.4120 bb:1.0628 rl:2.2840 rb:1.0606 dl:2884-2943 gd:0
ttp: b736/782 bl:2.2434 bb:1.0570 rl:2.2811 rb:1.0604 dl:2526-2550 gd:0
ttpp: phase:3/3 pd:2960 gd:2500 t:339.9s
tttg: c1/289 lr:0.001000 t:0.1s
tttg: c2/289 lr:0.001000 t:0.2s
tttg: c3/289 lr:0.001000 t:0.2s
tttg: c4/289 lr:0.001000 t:0.3s
tttg: c5/289 lr:0.001000 t:0.4s
tttg: c6/289 lr:0.000999 t:0.4s
tttg: c7/289 lr:0.000999 t:0.5s
tttg: c8/289 lr:0.000999 t:0.6s
tttg: c9/289 lr:0.000998 t:0.6s
tttg: c10/289 lr:0.000998 t:0.7s
tttg: c11/289 lr:0.000997 t:0.8s
tttg: c12/289 lr:0.000996 t:0.9s
tttg: c13/289 lr:0.000996 t:0.9s
tttg: c14/289 lr:0.000995 t:1.0s
tttg: c15/289 lr:0.000994 t:1.1s
tttg: c16/289 lr:0.000993 t:1.1s
tttg: c17/289 lr:0.000992 t:1.2s
tttg: c18/289 lr:0.000991 t:1.3s
tttg: c19/289 lr:0.000990 t:1.3s
tttg: c20/289 lr:0.000989 t:1.4s
tttg: c21/289 lr:0.000988 t:1.5s
tttg: c22/289 lr:0.000987 t:1.6s
tttg: c23/289 lr:0.000986 t:1.6s
tttg: c24/289 lr:0.000984 t:1.7s
tttg: c25/289 lr:0.000983 t:1.8s
tttg: c26/289 lr:0.000982 t:1.8s
tttg: c27/289 lr:0.000980 t:1.9s
tttg: c28/289 lr:0.000978 t:2.0s
tttg: c29/289 lr:0.000977 t:2.0s
tttg: c30/289 lr:0.000975 t:2.1s
